"","orig.ident","nCount_RNA","nFeature_RNA","STIM","SAMP","PND"
"53#25#77_1","SeuratProject",101,15,"pbs","AR019","P5"
"53#3#77_1","SeuratProject",1155,32,"pbs","AR019","P5"
"53#38#53_1","SeuratProject",269,26,"pbs","AR019","P5"
"53#40#80_1","SeuratProject",735,31,"pbs","AR019","P5"
"53#43#82_1","SeuratProject",779,25,"pbs","AR019","P5"
"53#64#73_1","SeuratProject",190,23,"pbs","AR019","P5"
"53#8#65_1","SeuratProject",126,22,"pbs","AR019","P5"
"53#88#77_1","SeuratProject",290,20,"pbs","AR019","P5"
"54#14#96_1","SeuratProject",187,26,"pbs","AR019","P5"
"54#2#76_1","SeuratProject",85,17,"pbs","AR019","P5"
"54#47#10_1","SeuratProject",85,13,"pbs","AR019","P5"
"54#64#29_1","SeuratProject",581,29,"pbs","AR019","P5"
"54#94#60_1","SeuratProject",1376,35,"pbs","AR019","P5"
"55#3#18_1","SeuratProject",194,28,"pbs","AR019","P5"
"55#40#37_1","SeuratProject",366,25,"pbs","AR019","P5"
"55#44#50_1","SeuratProject",157,20,"pbs","AR019","P5"
"55#55#80_1","SeuratProject",884,31,"pbs","AR019","P5"
"55#62#26_1","SeuratProject",1788,29,"pbs","AR019","P5"
"55#65#2_1","SeuratProject",84,16,"pbs","AR019","P5"
"55#9#47_1","SeuratProject",80,12,"pbs","AR019","P5"
"55#96#26_1","SeuratProject",488,30,"pbs","AR019","P5"
"56#10#48_1","SeuratProject",1000,29,"pbs","AR019","P5"
"56#12#17_1","SeuratProject",1179,31,"pbs","AR019","P5"
"56#13#70_1","SeuratProject",161,22,"pbs","AR019","P5"
"56#23#31_1","SeuratProject",91,11,"pbs","AR019","P5"
"56#45#51_1","SeuratProject",1077,31,"pbs","AR019","P5"
"56#48#82_1","SeuratProject",763,27,"pbs","AR019","P5"
"56#66#2_1","SeuratProject",340,23,"pbs","AR019","P5"
"56#71#47_1","SeuratProject",294,13,"pbs","AR019","P5"
"56#78#29_1","SeuratProject",292,19,"pbs","AR019","P5"
"56#87#75_1","SeuratProject",1037,31,"pbs","AR019","P5"
"57#1#10_1","SeuratProject",1057,32,"pbs","AR019","P5"
"57#2#68_1","SeuratProject",54,11,"pbs","AR019","P5"
"57#32#53_1","SeuratProject",148,20,"pbs","AR019","P5"
"57#4#71_1","SeuratProject",399,24,"pbs","AR019","P5"
"57#42#52_1","SeuratProject",69,17,"pbs","AR019","P5"
"57#52#77_1","SeuratProject",810,25,"pbs","AR019","P5"
"57#74#10_1","SeuratProject",1351,40,"pbs","AR019","P5"
"57#78#30_1","SeuratProject",630,30,"pbs","AR019","P5"
"57#79#15_1","SeuratProject",1507,31,"pbs","AR019","P5"
"58#20#13_1","SeuratProject",111,15,"pbs","AR019","P5"
"58#20#18_1","SeuratProject",936,32,"pbs","AR019","P5"
"58#45#5_1","SeuratProject",137,21,"pbs","AR019","P5"
"58#49#53_1","SeuratProject",263,22,"pbs","AR019","P5"
"58#67#95_1","SeuratProject",120,16,"pbs","AR019","P5"
"59#19#28_1","SeuratProject",178,19,"pbs","AR019","P5"
"59#22#67_1","SeuratProject",468,21,"pbs","AR019","P5"
"59#67#48_1","SeuratProject",447,19,"pbs","AR019","P5"
"59#8#18_1","SeuratProject",189,23,"pbs","AR019","P5"
"59#8#83_1","SeuratProject",166,23,"pbs","AR019","P5"
"59#80#87_1","SeuratProject",215,27,"pbs","AR019","P5"
"59#95#4_1","SeuratProject",1277,29,"pbs","AR019","P5"
"6#36#67_1","SeuratProject",1081,35,"pbs","AR019","P5"
"6#47#78_1","SeuratProject",569,28,"pbs","AR019","P5"
"6#49#63_1","SeuratProject",88,18,"pbs","AR019","P5"
"6#50#87_1","SeuratProject",383,29,"pbs","AR019","P5"
"6#64#38_1","SeuratProject",220,20,"pbs","AR019","P5"
"6#68#31_1","SeuratProject",86,14,"pbs","AR019","P5"
"6#70#70_1","SeuratProject",432,19,"pbs","AR019","P5"
"6#71#1_1","SeuratProject",2044,38,"pbs","AR019","P5"
"6#72#86_1","SeuratProject",2025,34,"pbs","AR019","P5"
"60#18#12_1","SeuratProject",216,25,"pbs","AR019","P5"
"60#21#13_1","SeuratProject",628,29,"pbs","AR019","P5"
"60#25#39_1","SeuratProject",401,30,"pbs","AR019","P5"
"60#41#24_1","SeuratProject",810,28,"pbs","AR019","P5"
"60#55#13_1","SeuratProject",669,28,"pbs","AR019","P5"
"60#8#1_1","SeuratProject",444,29,"pbs","AR019","P5"
"60#8#18_1","SeuratProject",767,31,"pbs","AR019","P5"
"61#1#81_1","SeuratProject",916,25,"pbs","AR019","P5"
"61#13#84_1","SeuratProject",95,10,"pbs","AR019","P5"
"61#31#47_1","SeuratProject",180,20,"pbs","AR019","P5"
"61#49#44_1","SeuratProject",174,27,"pbs","AR019","P5"
"61#85#78_1","SeuratProject",1722,35,"pbs","AR019","P5"
"62#14#16_1","SeuratProject",435,24,"pbs","AR019","P5"
"62#19#12_1","SeuratProject",558,28,"pbs","AR019","P5"
"62#46#10_1","SeuratProject",152,21,"pbs","AR019","P5"
"62#5#54_1","SeuratProject",1406,34,"pbs","AR019","P5"
"62#50#93_1","SeuratProject",265,15,"pbs","AR019","P5"
"62#54#46_1","SeuratProject",151,24,"pbs","AR019","P5"
"62#69#72_1","SeuratProject",225,23,"pbs","AR019","P5"
"62#79#18_1","SeuratProject",330,25,"pbs","AR019","P5"
"62#80#70_1","SeuratProject",961,36,"pbs","AR019","P5"
"62#93#3_1","SeuratProject",344,28,"pbs","AR019","P5"
"63#14#78_1","SeuratProject",503,27,"pbs","AR019","P5"
"63#23#2_1","SeuratProject",130,21,"pbs","AR019","P5"
"63#28#7_1","SeuratProject",627,28,"pbs","AR019","P5"
"63#31#14_1","SeuratProject",477,23,"pbs","AR019","P5"
"63#50#15_1","SeuratProject",106,18,"pbs","AR019","P5"
"63#71#39_1","SeuratProject",1333,31,"pbs","AR019","P5"
"63#78#3_1","SeuratProject",146,21,"pbs","AR019","P5"
"63#79#35_1","SeuratProject",105,19,"pbs","AR019","P5"
"63#85#56_1","SeuratProject",201,22,"pbs","AR019","P5"
"63#9#47_1","SeuratProject",118,15,"pbs","AR019","P5"
"64#10#15_1","SeuratProject",78,12,"pbs","AR019","P5"
"64#25#10_1","SeuratProject",438,26,"pbs","AR019","P5"
"64#30#64_1","SeuratProject",647,26,"pbs","AR019","P5"
"64#31#19_1","SeuratProject",720,27,"pbs","AR019","P5"
"64#32#41_1","SeuratProject",459,21,"pbs","AR019","P5"
"64#42#80_1","SeuratProject",182,19,"pbs","AR019","P5"
"64#80#59_1","SeuratProject",160,21,"pbs","AR019","P5"
"64#81#18_1","SeuratProject",542,27,"pbs","AR019","P5"
"64#95#20_1","SeuratProject",71,14,"pbs","AR019","P5"
"65#14#70_1","SeuratProject",343,23,"pbs","AR019","P5"
"65#15#54_1","SeuratProject",210,14,"pbs","AR019","P5"
"65#30#47_1","SeuratProject",274,27,"pbs","AR019","P5"
"65#34#2_1","SeuratProject",371,27,"pbs","AR019","P5"
"65#38#24_1","SeuratProject",88,20,"pbs","AR019","P5"
"65#50#69_1","SeuratProject",115,17,"pbs","AR019","P5"
"65#52#92_1","SeuratProject",806,29,"pbs","AR019","P5"
"65#67#96_1","SeuratProject",539,26,"pbs","AR019","P5"
"65#79#73_1","SeuratProject",1396,33,"pbs","AR019","P5"
"65#80#65_1","SeuratProject",131,21,"pbs","AR019","P5"
"65#90#73_1","SeuratProject",747,28,"pbs","AR019","P5"
"66#15#17_1","SeuratProject",378,26,"pbs","AR019","P5"
"66#16#18_1","SeuratProject",709,30,"pbs","AR019","P5"
"66#27#35_1","SeuratProject",395,24,"pbs","AR019","P5"
"66#31#32_1","SeuratProject",639,21,"pbs","AR019","P5"
"66#40#7_1","SeuratProject",960,28,"pbs","AR019","P5"
"66#55#24_1","SeuratProject",207,18,"pbs","AR019","P5"
"66#63#65_1","SeuratProject",123,19,"pbs","AR019","P5"
"66#63#69_1","SeuratProject",1085,33,"pbs","AR019","P5"
"66#84#69_1","SeuratProject",1188,31,"pbs","AR019","P5"
"66#94#38_1","SeuratProject",377,27,"pbs","AR019","P5"
"66#94#68_1","SeuratProject",71,13,"pbs","AR019","P5"
"67#11#2_1","SeuratProject",431,24,"pbs","AR019","P5"
"67#13#29_1","SeuratProject",3939,40,"pbs","AR019","P5"
"67#4#24_1","SeuratProject",451,23,"pbs","AR019","P5"
"67#54#64_1","SeuratProject",380,25,"pbs","AR019","P5"
"67#93#26_1","SeuratProject",84,13,"pbs","AR019","P5"
"68#24#65_1","SeuratProject",776,29,"pbs","AR019","P5"
"68#35#19_1","SeuratProject",298,25,"pbs","AR019","P5"
"68#65#17_1","SeuratProject",2772,38,"pbs","AR019","P5"
"68#69#92_1","SeuratProject",510,28,"pbs","AR019","P5"
"69#11#35_1","SeuratProject",2043,35,"pbs","AR019","P5"
"69#26#79_1","SeuratProject",515,28,"pbs","AR019","P5"
"69#27#96_1","SeuratProject",727,30,"pbs","AR019","P5"
"69#3#19_1","SeuratProject",466,25,"pbs","AR019","P5"
"69#39#60_1","SeuratProject",872,28,"pbs","AR019","P5"
"69#40#28_1","SeuratProject",706,20,"pbs","AR019","P5"
"69#56#18_1","SeuratProject",204,23,"pbs","AR019","P5"
"69#57#53_1","SeuratProject",448,29,"pbs","AR019","P5"
"69#63#18_1","SeuratProject",1236,30,"pbs","AR019","P5"
"69#77#1_1","SeuratProject",1028,30,"pbs","AR019","P5"
"69#81#63_1","SeuratProject",67,14,"pbs","AR019","P5"
"7#2#71_1","SeuratProject",115,12,"pbs","AR019","P5"
"7#21#20_1","SeuratProject",410,29,"pbs","AR019","P5"
"7#28#21_1","SeuratProject",828,30,"pbs","AR019","P5"
"7#50#54_1","SeuratProject",93,12,"pbs","AR019","P5"
"7#51#69_1","SeuratProject",987,34,"pbs","AR019","P5"
"7#76#58_1","SeuratProject",294,26,"pbs","AR019","P5"
"7#85#67_1","SeuratProject",466,26,"pbs","AR019","P5"
"70#19#21_1","SeuratProject",1301,27,"pbs","AR019","P5"
"70#22#24_1","SeuratProject",1277,29,"pbs","AR019","P5"
"70#28#4_1","SeuratProject",158,22,"pbs","AR019","P5"
"70#30#92_1","SeuratProject",992,27,"pbs","AR019","P5"
"70#33#74_1","SeuratProject",89,20,"pbs","AR019","P5"
"70#40#39_1","SeuratProject",494,29,"pbs","AR019","P5"
"70#8#61_1","SeuratProject",1109,33,"pbs","AR019","P5"
"70#80#31_1","SeuratProject",206,22,"pbs","AR019","P5"
"70#95#21_1","SeuratProject",1124,33,"pbs","AR019","P5"
"71#17#60_1","SeuratProject",389,24,"pbs","AR019","P5"
"71#27#90_1","SeuratProject",175,18,"pbs","AR019","P5"
"71#31#83_1","SeuratProject",329,27,"pbs","AR019","P5"
"71#8#33_1","SeuratProject",66,11,"pbs","AR019","P5"
"71#83#86_1","SeuratProject",2103,31,"pbs","AR019","P5"
"72#10#8_1","SeuratProject",227,25,"pbs","AR019","P5"
"72#17#71_1","SeuratProject",381,22,"pbs","AR019","P5"
"72#28#16_1","SeuratProject",144,13,"pbs","AR019","P5"
"72#40#57_1","SeuratProject",89,14,"pbs","AR019","P5"
"72#53#55_1","SeuratProject",135,22,"pbs","AR019","P5"
"72#55#32_1","SeuratProject",138,20,"pbs","AR019","P5"
"72#64#67_1","SeuratProject",1187,33,"pbs","AR019","P5"
"72#67#1_1","SeuratProject",108,20,"pbs","AR019","P5"
"72#78#58_1","SeuratProject",181,23,"pbs","AR019","P5"
"72#8#79_1","SeuratProject",247,22,"pbs","AR019","P5"
"72#85#48_1","SeuratProject",440,21,"pbs","AR019","P5"
"73#2#20_1","SeuratProject",302,29,"pbs","AR019","P5"
"73#34#39_1","SeuratProject",93,15,"pbs","AR019","P5"
"73#41#20_1","SeuratProject",190,24,"pbs","AR019","P5"
"73#67#8_1","SeuratProject",201,23,"pbs","AR019","P5"
"73#69#82_1","SeuratProject",225,22,"pbs","AR019","P5"
"73#70#75_1","SeuratProject",682,26,"pbs","AR019","P5"
"73#76#27_1","SeuratProject",795,32,"pbs","AR019","P5"
"73#83#38_1","SeuratProject",376,33,"pbs","AR019","P5"
"73#93#16_1","SeuratProject",194,22,"pbs","AR019","P5"
"74#29#82_1","SeuratProject",435,20,"pbs","AR019","P5"
"74#36#69_1","SeuratProject",521,27,"pbs","AR019","P5"
"74#39#9_1","SeuratProject",1588,29,"pbs","AR019","P5"
"74#58#11_1","SeuratProject",2126,20,"pbs","AR019","P5"
"74#70#51_1","SeuratProject",661,30,"pbs","AR019","P5"
"74#80#58_1","SeuratProject",1306,31,"pbs","AR019","P5"
"74#95#44_1","SeuratProject",549,26,"pbs","AR019","P5"
"75#17#63_1","SeuratProject",525,29,"pbs","AR019","P5"
"75#19#6_1","SeuratProject",651,29,"pbs","AR019","P5"
"75#26#45_1","SeuratProject",414,25,"pbs","AR019","P5"
"75#29#17_1","SeuratProject",304,18,"pbs","AR019","P5"
"75#3#64_1","SeuratProject",122,23,"pbs","AR019","P5"
"75#30#40_1","SeuratProject",467,21,"pbs","AR019","P5"
"75#30#66_1","SeuratProject",232,26,"pbs","AR019","P5"
"75#37#17_1","SeuratProject",479,20,"pbs","AR019","P5"
"75#37#24_1","SeuratProject",732,29,"pbs","AR019","P5"
"75#45#66_1","SeuratProject",1196,28,"pbs","AR019","P5"
"75#47#30_1","SeuratProject",1452,32,"pbs","AR019","P5"
"75#48#3_1","SeuratProject",790,28,"pbs","AR019","P5"
"75#65#1_1","SeuratProject",731,29,"pbs","AR019","P5"
"75#66#87_1","SeuratProject",379,24,"pbs","AR019","P5"
"75#68#64_1","SeuratProject",205,28,"pbs","AR019","P5"
"75#72#63_1","SeuratProject",585,25,"pbs","AR019","P5"
"76#13#32_1","SeuratProject",1055,30,"pbs","AR019","P5"
"76#17#90_1","SeuratProject",89,18,"pbs","AR019","P5"
"76#19#45_1","SeuratProject",336,28,"pbs","AR019","P5"
"76#24#35_1","SeuratProject",541,26,"pbs","AR019","P5"
"76#28#78_1","SeuratProject",721,32,"pbs","AR019","P5"
"76#34#60_1","SeuratProject",455,29,"pbs","AR019","P5"
"76#41#59_1","SeuratProject",148,22,"pbs","AR019","P5"
"76#47#44_1","SeuratProject",411,26,"pbs","AR019","P5"
"76#52#60_1","SeuratProject",698,28,"pbs","AR019","P5"
"76#57#59_1","SeuratProject",109,19,"pbs","AR019","P5"
"76#64#57_1","SeuratProject",301,22,"pbs","AR019","P5"
"76#71#94_1","SeuratProject",280,22,"pbs","AR019","P5"
"76#77#78_1","SeuratProject",568,30,"pbs","AR019","P5"
"76#8#21_1","SeuratProject",872,28,"pbs","AR019","P5"
"76#80#13_1","SeuratProject",619,34,"pbs","AR019","P5"
"76#84#15_1","SeuratProject",399,29,"pbs","AR019","P5"
"76#85#7_1","SeuratProject",1786,36,"pbs","AR019","P5"
"76#85#89_1","SeuratProject",1778,34,"pbs","AR019","P5"
"77#20#2_1","SeuratProject",1016,28,"pbs","AR019","P5"
"77#20#63_1","SeuratProject",2630,40,"pbs","AR019","P5"
"77#30#44_1","SeuratProject",430,22,"pbs","AR019","P5"
"77#32#56_1","SeuratProject",840,28,"pbs","AR019","P5"
"77#40#14_1","SeuratProject",755,26,"pbs","AR019","P5"
"77#47#9_1","SeuratProject",348,25,"pbs","AR019","P5"
"77#57#9_1","SeuratProject",364,25,"pbs","AR019","P5"
"77#64#69_1","SeuratProject",83,18,"pbs","AR019","P5"
"77#74#35_1","SeuratProject",176,27,"pbs","AR019","P5"
"78#15#17_1","SeuratProject",100,17,"pbs","AR019","P5"
"78#3#71_1","SeuratProject",342,27,"pbs","AR019","P5"
"78#32#21_1","SeuratProject",677,35,"pbs","AR019","P5"
"78#34#54_1","SeuratProject",323,22,"pbs","AR019","P5"
"78#52#92_1","SeuratProject",899,27,"pbs","AR019","P5"
"78#56#65_1","SeuratProject",269,25,"pbs","AR019","P5"
"78#67#73_1","SeuratProject",1689,33,"pbs","AR019","P5"
"78#67#79_1","SeuratProject",632,23,"pbs","AR019","P5"
"78#69#79_1","SeuratProject",403,20,"pbs","AR019","P5"
"78#72#94_1","SeuratProject",970,33,"pbs","AR019","P5"
"78#76#65_1","SeuratProject",139,17,"pbs","AR019","P5"
"78#88#15_1","SeuratProject",468,24,"pbs","AR019","P5"
"78#9#53_1","SeuratProject",231,21,"pbs","AR019","P5"
"78#90#69_1","SeuratProject",463,24,"pbs","AR019","P5"
"78#91#49_1","SeuratProject",409,26,"pbs","AR019","P5"
"79#14#72_1","SeuratProject",223,24,"pbs","AR019","P5"
"79#3#54_1","SeuratProject",477,26,"pbs","AR019","P5"
"79#32#18_1","SeuratProject",289,25,"pbs","AR019","P5"
"79#43#9_1","SeuratProject",962,31,"pbs","AR019","P5"
"79#56#29_1","SeuratProject",730,29,"pbs","AR019","P5"
"79#66#2_1","SeuratProject",692,30,"pbs","AR019","P5"
"79#66#26_1","SeuratProject",1174,32,"pbs","AR019","P5"
"8#1#82_1","SeuratProject",298,18,"pbs","AR019","P5"
"8#11#80_1","SeuratProject",207,20,"pbs","AR019","P5"
"8#4#25_1","SeuratProject",160,21,"pbs","AR019","P5"
"8#53#51_1","SeuratProject",89,20,"pbs","AR019","P5"
"8#54#61_1","SeuratProject",82,20,"pbs","AR019","P5"
"8#59#37_1","SeuratProject",553,28,"pbs","AR019","P5"
"8#70#19_1","SeuratProject",1354,34,"pbs","AR019","P5"
"8#86#68_1","SeuratProject",111,12,"pbs","AR019","P5"
"8#91#58_1","SeuratProject",1185,32,"pbs","AR019","P5"
"80#18#59_1","SeuratProject",196,21,"pbs","AR019","P5"
"80#27#6_1","SeuratProject",206,24,"pbs","AR019","P5"
"80#40#65_1","SeuratProject",88,17,"pbs","AR019","P5"
"80#43#53_1","SeuratProject",262,26,"pbs","AR019","P5"
"80#58#63_1","SeuratProject",421,26,"pbs","AR019","P5"
"80#58#74_1","SeuratProject",318,23,"pbs","AR019","P5"
"80#63#57_1","SeuratProject",155,22,"pbs","AR019","P5"
"80#64#54_1","SeuratProject",1288,28,"pbs","AR019","P5"
"80#64#72_1","SeuratProject",927,28,"pbs","AR019","P5"
"80#78#4_1","SeuratProject",93,21,"pbs","AR019","P5"
"80#79#17_1","SeuratProject",1374,29,"pbs","AR019","P5"
"80#84#36_1","SeuratProject",280,18,"pbs","AR019","P5"
"81#24#43_1","SeuratProject",968,31,"pbs","AR019","P5"
"81#30#73_1","SeuratProject",157,24,"pbs","AR019","P5"
"81#40#64_1","SeuratProject",537,30,"pbs","AR019","P5"
"81#45#53_1","SeuratProject",327,21,"pbs","AR019","P5"
"81#8#36_1","SeuratProject",612,26,"pbs","AR019","P5"
"81#9#64_1","SeuratProject",814,30,"pbs","AR019","P5"
"81#96#24_1","SeuratProject",1149,30,"pbs","AR019","P5"
"82#12#39_1","SeuratProject",1362,27,"pbs","AR019","P5"
"82#34#91_1","SeuratProject",709,29,"pbs","AR019","P5"
"82#37#4_1","SeuratProject",49,10,"pbs","AR019","P5"
"82#40#56_1","SeuratProject",586,23,"pbs","AR019","P5"
"82#45#86_1","SeuratProject",140,18,"pbs","AR019","P5"
"82#55#39_1","SeuratProject",1373,32,"pbs","AR019","P5"
"82#56#53_1","SeuratProject",645,28,"pbs","AR019","P5"
"82#68#8_1","SeuratProject",103,17,"pbs","AR019","P5"
"82#71#20_1","SeuratProject",68,6,"pbs","AR019","P5"
"82#74#29_1","SeuratProject",225,21,"pbs","AR019","P5"
"82#80#36_1","SeuratProject",381,25,"pbs","AR019","P5"
"82#9#65_1","SeuratProject",515,32,"pbs","AR019","P5"
"83#23#78_1","SeuratProject",317,26,"pbs","AR019","P5"
"83#32#86_1","SeuratProject",984,34,"pbs","AR019","P5"
"83#49#68_1","SeuratProject",328,21,"pbs","AR019","P5"
"83#51#79_1","SeuratProject",202,25,"pbs","AR019","P5"
"83#52#28_1","SeuratProject",1262,33,"pbs","AR019","P5"
"83#64#13_1","SeuratProject",4328,40,"pbs","AR019","P5"
"83#71#93_1","SeuratProject",709,31,"pbs","AR019","P5"
"83#83#6_1","SeuratProject",111,19,"pbs","AR019","P5"
"83#9#15_1","SeuratProject",122,16,"pbs","AR019","P5"
"84#13#69_1","SeuratProject",332,27,"pbs","AR019","P5"
"84#16#7_1","SeuratProject",72,15,"pbs","AR019","P5"
"84#2#30_1","SeuratProject",321,19,"pbs","AR019","P5"
"84#3#9_1","SeuratProject",106,18,"pbs","AR019","P5"
"84#45#82_1","SeuratProject",1141,27,"pbs","AR019","P5"
"84#48#23_1","SeuratProject",625,23,"pbs","AR019","P5"
"84#59#1_1","SeuratProject",164,22,"pbs","AR019","P5"
"84#74#82_1","SeuratProject",177,23,"pbs","AR019","P5"
"84#8#56_1","SeuratProject",337,21,"pbs","AR019","P5"
"84#84#49_1","SeuratProject",668,23,"pbs","AR019","P5"
"85#71#17_1","SeuratProject",171,24,"pbs","AR019","P5"
"85#83#91_1","SeuratProject",360,30,"pbs","AR019","P5"
"85#86#1_1","SeuratProject",590,30,"pbs","AR019","P5"
"86#28#18_1","SeuratProject",1193,33,"pbs","AR019","P5"
"86#28#29_1","SeuratProject",216,24,"pbs","AR019","P5"
"86#56#35_1","SeuratProject",1785,34,"pbs","AR019","P5"
"86#6#20_1","SeuratProject",132,23,"pbs","AR019","P5"
"86#6#87_1","SeuratProject",454,28,"pbs","AR019","P5"
"86#70#54_1","SeuratProject",903,31,"pbs","AR019","P5"
"86#81#68_1","SeuratProject",496,23,"pbs","AR019","P5"
"87#14#16_1","SeuratProject",291,28,"pbs","AR019","P5"
"87#14#2_1","SeuratProject",306,18,"pbs","AR019","P5"
"87#15#71_1","SeuratProject",446,27,"pbs","AR019","P5"
"87#18#41_1","SeuratProject",103,18,"pbs","AR019","P5"
"87#20#71_1","SeuratProject",618,26,"pbs","AR019","P5"
"87#20#82_1","SeuratProject",291,24,"pbs","AR019","P5"
"87#34#47_1","SeuratProject",709,29,"pbs","AR019","P5"
"87#37#16_1","SeuratProject",53,10,"pbs","AR019","P5"
"87#41#1_1","SeuratProject",85,13,"pbs","AR019","P5"
"87#46#94_1","SeuratProject",159,25,"pbs","AR019","P5"
"87#51#1_1","SeuratProject",312,24,"pbs","AR019","P5"
"87#67#51_1","SeuratProject",1400,36,"pbs","AR019","P5"
"87#82#95_1","SeuratProject",429,19,"pbs","AR019","P5"
"88#17#34_1","SeuratProject",115,19,"pbs","AR019","P5"
"88#2#63_1","SeuratProject",204,20,"pbs","AR019","P5"
"88#25#34_1","SeuratProject",892,28,"pbs","AR019","P5"
"88#28#28_1","SeuratProject",104,15,"pbs","AR019","P5"
"88#29#1_1","SeuratProject",845,31,"pbs","AR019","P5"
"88#40#67_1","SeuratProject",105,18,"pbs","AR019","P5"
"88#47#19_1","SeuratProject",291,21,"pbs","AR019","P5"
"88#53#32_1","SeuratProject",1395,34,"pbs","AR019","P5"
"88#65#9_1","SeuratProject",92,22,"pbs","AR019","P5"
"88#66#56_1","SeuratProject",370,27,"pbs","AR019","P5"
"88#79#17_1","SeuratProject",88,11,"pbs","AR019","P5"
"89#12#81_1","SeuratProject",223,23,"pbs","AR019","P5"
"89#24#20_1","SeuratProject",180,24,"pbs","AR019","P5"
"89#35#36_1","SeuratProject",153,21,"pbs","AR019","P5"
"89#37#4_1","SeuratProject",691,30,"pbs","AR019","P5"
"89#40#14_1","SeuratProject",177,21,"pbs","AR019","P5"
"89#43#35_1","SeuratProject",2234,32,"pbs","AR019","P5"
"89#43#63_1","SeuratProject",88,21,"pbs","AR019","P5"
"89#47#38_1","SeuratProject",916,32,"pbs","AR019","P5"
"89#6#50_1","SeuratProject",108,23,"pbs","AR019","P5"
"89#64#95_1","SeuratProject",65,13,"pbs","AR019","P5"
"89#7#95_1","SeuratProject",131,19,"pbs","AR019","P5"
"89#72#10_1","SeuratProject",1209,35,"pbs","AR019","P5"
"89#73#48_1","SeuratProject",753,27,"pbs","AR019","P5"
"89#77#7_1","SeuratProject",244,23,"pbs","AR019","P5"
"89#78#46_1","SeuratProject",1240,36,"pbs","AR019","P5"
"89#82#13_1","SeuratProject",88,14,"pbs","AR019","P5"
"89#88#69_1","SeuratProject",695,28,"pbs","AR019","P5"
"9#23#76_1","SeuratProject",970,33,"pbs","AR019","P5"
"9#39#37_1","SeuratProject",181,20,"pbs","AR019","P5"
"9#49#33_1","SeuratProject",831,30,"pbs","AR019","P5"
"9#5#17_1","SeuratProject",96,18,"pbs","AR019","P5"
"9#5#80_1","SeuratProject",1729,31,"pbs","AR019","P5"
"9#51#90_1","SeuratProject",249,15,"pbs","AR019","P5"
"9#60#1_1","SeuratProject",873,31,"pbs","AR019","P5"
"9#76#22_1","SeuratProject",170,17,"pbs","AR019","P5"
"90#13#93_1","SeuratProject",1217,28,"pbs","AR019","P5"
"90#15#1_1","SeuratProject",222,24,"pbs","AR019","P5"
"90#18#45_1","SeuratProject",143,18,"pbs","AR019","P5"
"90#25#13_1","SeuratProject",948,30,"pbs","AR019","P5"
"90#34#31_1","SeuratProject",811,31,"pbs","AR019","P5"
"90#34#90_1","SeuratProject",1366,29,"pbs","AR019","P5"
"90#48#43_1","SeuratProject",780,29,"pbs","AR019","P5"
"90#48#49_1","SeuratProject",48,15,"pbs","AR019","P5"
"90#49#84_1","SeuratProject",156,21,"pbs","AR019","P5"
"90#5#83_1","SeuratProject",267,25,"pbs","AR019","P5"
"90#56#5_1","SeuratProject",260,22,"pbs","AR019","P5"
"90#57#24_1","SeuratProject",220,23,"pbs","AR019","P5"
"90#57#6_1","SeuratProject",226,25,"pbs","AR019","P5"
"90#57#89_1","SeuratProject",603,32,"pbs","AR019","P5"
"90#59#63_1","SeuratProject",243,22,"pbs","AR019","P5"
"90#64#46_1","SeuratProject",338,15,"pbs","AR019","P5"
"90#77#54_1","SeuratProject",222,28,"pbs","AR019","P5"
"90#80#83_1","SeuratProject",1144,32,"pbs","AR019","P5"
"90#87#18_1","SeuratProject",1197,33,"pbs","AR019","P5"
"90#9#19_1","SeuratProject",906,26,"pbs","AR019","P5"
"90#9#60_1","SeuratProject",692,29,"pbs","AR019","P5"
"91#21#65_1","SeuratProject",1168,31,"pbs","AR019","P5"
"91#37#38_1","SeuratProject",924,28,"pbs","AR019","P5"
"91#44#14_1","SeuratProject",1809,36,"pbs","AR019","P5"
"91#69#76_1","SeuratProject",79,18,"pbs","AR019","P5"
"91#76#66_1","SeuratProject",594,28,"pbs","AR019","P5"
"91#85#18_1","SeuratProject",149,21,"pbs","AR019","P5"
"92#14#44_1","SeuratProject",317,30,"pbs","AR019","P5"
"92#22#47_1","SeuratProject",1673,34,"pbs","AR019","P5"
"92#25#53_1","SeuratProject",491,21,"pbs","AR019","P5"
"92#35#64_1","SeuratProject",798,33,"pbs","AR019","P5"
"92#36#77_1","SeuratProject",119,20,"pbs","AR019","P5"
"92#50#49_1","SeuratProject",45,11,"pbs","AR019","P5"
"92#52#44_1","SeuratProject",675,25,"pbs","AR019","P5"
"92#56#92_1","SeuratProject",294,25,"pbs","AR019","P5"
"92#58#68_1","SeuratProject",101,17,"pbs","AR019","P5"
